idx,tp,fp,total_signals,score,turnover_heat_z,turnover_rate_heat_z,search_heat_z,margin_heat_z,price_accel_z,amplitude_heat_z,ma_spread_z,up_ratio_z
0,1,33,34,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,19,20,81.0,0.0,0.0,0.0,0.0,0.06,0.9,0.025,0.015
2,1,10,11,90.0,0.0,0.0,0.0,0.0,0.12,0.8,0.05,0.03
3,1,11,12,89.0,0.0,0.0,0.0,0.0,0.18,0.7,0.075,0.045
4,1,14,15,86.0,0.0,0.0,0.0,0.0,0.24,0.6,0.1,0.06
5,1,18,19,82.0,0.0,0.0,0.0,0.0,0.3,0.5,0.125,0.075
6,1,22,23,78.0,0.0,0.0,0.0,0.0,0.36,0.4,0.15,0.09
7,1,23,24,77.0,0.0,0.0,0.0,0.0,0.42,0.3,0.175,0.105
8,1,25,26,75.0,0.0,0.0,0.0,0.0,0.48,0.2,0.2,0.12
9,1,36,37,64.0,0.0,0.0,0.0,0.0,0.54,0.1,0.225,0.135
10,1,46,47,54.0,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.15
11,1,26,27,74.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0
12,1,13,14,87.0,0.0,0.0,0.0,0.1,0.06,0.8,0.025,0.015
13,1,10,11,90.0,0.0,0.0,0.0,0.1,0.12,0.7,0.05,0.03
14,1,11,12,89.0,0.0,0.0,0.0,0.1,0.18,0.6,0.075,0.045
15,1,15,16,85.0,0.0,0.0,0.0,0.1,0.24,0.5,0.1,0.06
16,1,19,20,81.0,0.0,0.0,0.0,0.1,0.3,0.4,0.125,0.075
17,1,19,20,81.0,0.0,0.0,0.0,0.1,0.36,0.3,0.15,0.09
18,1,20,21,80.0,0.0,0.0,0.0,0.1,0.42,0.2,0.175,0.105
19,1,29,30,71.0,0.0,0.0,0.0,0.1,0.48,0.1,0.2,0.12
20,1,36,37,64.0,0.0,0.0,0.0,0.1,0.54,0.0,0.225,0.135
21,1,22,23,78.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0
22,0,11,11,-11.0,0.0,0.0,0.0,0.2,0.06,0.7,0.025,0.015
23,0,12,12,-12.0,0.0,0.0,0.0,0.2,0.12,0.6,0.05,0.03
24,0,14,14,-14.0,0.0,0.0,0.0,0.2,0.18,0.5,0.075,0.045
25,0,16,16,-16.0,0.0,0.0,0.0,0.2,0.24,0.4,0.1,0.06
26,0,19,19,-19.0,0.0,0.0,0.0,0.2,0.3,0.3,0.125,0.075
