日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2005-01-04,982.79,,22.212111687326047,0.0,0.02,,,,,,,,,,,,,0.0,50.0,0,相对安全
2005-01-05,992.56,0.00994108609163713,22.233812971097564,1.77,0.02,,,,,,,1.0,,,1.0,,,1.0,73.11,0,警惕
2005-01-06,983.17,-0.009460385266381821,22.089616488073425,1.36,0.02,,,,,,,-1.4,,-1.0,0.419,,,-1.023,26.45,0,相对安全
2005-01-07,983.96,0.000803523297090214,22.278768948442277,1.62,0.02,,,,,,,1.073,,0.047,0.617,,,0.632,65.28,0,警惕
2005-01-10,993.88,0.010081710638643715,22.04846451714707,1.44,0.02,,,,,,,-1.407,,0.901,0.318,,,-0.326,41.92,0,相对安全
2005-01-11,997.14,0.0032800740532055173,22.032699861129334,0.85,0.02,,,,,,,-1.215,,0.049,-0.541,,,-0.657,34.14,0,相对安全
2005-01-12,996.75,-0.0003911185991937183,21.852504222495753,0.77,0.02,,,,,,,-1.862,,-0.414,-0.605,,,-1.162,23.83,0,相对安全
2005-01-13,996.88,0.00013042387760209273,22.06930400725102,0.68,0.02,,,,,,,-0.256,,-0.309,-0.689,,,-0.33,41.83,0,相对安全
2005-01-14,988.31,-0.008596822084904976,22.1494828765631,1.93,0.02,,,,,,,0.345,,-1.368,1.312,,,-0.177,45.6,0,相对安全
2005-01-17,967.45,-0.021106737764466477,22.170139595566013,1.66,0.02,,,,,,,0.482,,-2.065,0.781,,,-0.436,39.27,0,相对安全
2005-01-18,974.69,0.007483590883249791,22.13861987115196,1.51,0.02,,,,,,,0.202,,0.886,0.492,,,0.495,62.13,0,警惕
2005-01-19,967.21,-0.007674234884937792,21.95522863133833,0.93,0.02,,,,,,,-1.269,,-0.687,-0.517,,,-0.957,27.75,0,相对安全
2005-01-20,956.24,-0.011341900931545412,22.204722776296233,1.14,0.02,,,,,,,0.822,,-0.995,-0.124,,,0.022,50.55,0,相对安全
